user_id,item_id,rating,timestamp
U_0151,I_1965,1,2025-05-14 17:18:52.889319
U_2269,I_0908,4,2025-08-06 19:43:26.520138
U_4174,I_1993,5,2026-01-17 23:38:23.418908
U_1785,I_0479,4,2025-12-24 11:25:44.620136
U_3460,I_0121,3,2025-10-29 05:19:06.332613
U_1836,I_0023,3,2025-11-03 23:50:28.987934
U_1397,I_0574,1,2025-06-23 03:31:37.405813
U_1075,I_1097,3,2025-07-06 21:56:59.941239
U_4506,I_0477,1,2025-10-27 13:08:14.703264
U_2008,I_1094,1,2025-04-28 23:42:46.105880
U_1493,I_0040,3,2025-05-05 23:26:23.563266
U_1135,I_1955,5,2025-11-13 01:37:30.431987
U_1548,I_0625,5,2025-11-02 22:36:27.158034
U_0784,I_1959,4,2025-04-12 02:48:09.830773
U_1420,I_1029,5,2026-03-16 19:12:54.897821
U_4838,I_0877,4,2026-02-14 00:21:35.247241
U_2435,I_0093,3,2026-01-20 16:16:39.804852
U_3481,I_0079,4,2025-06-06 14:13:17.416450
U_3651,I_0990,1,2025-09-06 22:34:34.932636
U_2063,I_0589,4,2025-05-03 03:41:49.709180
U_2020,I_0349,5,2026-03-07 02:48:57.079407
U_4757,I_0203,4,2025-11-09 05:09:41.797506
U_2149,I_1067,5,2025-07-16 05:44:06.699151
U_0950,I_0554,5,2025-09-17 07:46:32.510589
U_0024,I_1586,2,2025-12-31 01:42:12.839960
U_0017,I_0093,5,2025-10-09 00:06:09.887820
U_3825,I_0023,4,2025-05-23 06:07:12.866534
U_0569,I_1890,5,2025-05-13 19:36:33.933204
U_1355,I_0040,4,2025-08-27 21:00:58.330460
U_1592,I_1719,4,2025-12-13 00:48:27.088139
U_0830,I_1781,4,2026-02-16 18:29:59.628973
U_3082,I_1902,5,2025-12-30 11:23:25.204597
U_0871,I_0964,1,2026-01-31 03:40:11.791138
U_0834,I_1195,4,2025-10-18 18:55:27.427355
U_3312,I_0647,5,2025-08-01 23:45:36.929038
U_4952,I_1956,4,2025-08-08 19:26:19.853345
U_3116,I_1433,3,2025-11-13 04:18:27.110603
U_0969,I_1411,1,2025-05-10 00:25:08.913179
U_0592,I_0626,1,2025-09-03 10:02:20.574156
U_0254,I_0554,4,2025-09-20 11:21:17.786867
U_2114,I_1067,1,2025-10-05 10:14:38.208167
U_2965,I_0068,3,2026-03-10 23:57:46.098864
U_2661,I_0757,5,2026-01-10 23:46:29.609013
U_0602,I_1025,2,2025-05-28 02:22:42.762389
U_1065,I_1484,5,2025-07-06 06:11:11.281131
U_1839,I_1094,5,2026-03-16 11:49:24.989576
U_2431,I_0694,1,2025-07-11 22:07:24.166975
U_0965,I_0040,5,2026-03-12 05:24:15.468078
U_1737,I_1383,4,2025-04-19 07:57:55.984913
U_0484,I_1518,3,2026-03-18 07:32:20.255411
U_4134,I_1703,3,2025-06-05 14:13:59.551428
U_0010,I_0392,5,2026-01-19 15:04:13.774919
U_4719,I_0977,3,2025-09-24 22:20:36.659574
U_4504,I_0870,5,2025-10-08 14:34:05.572520
U_2027,I_1508,3,2025-10-01 16:10:30.675666
U_3364,I_0975,4,2025-04-24 12:22:13.502565
U_3087,I_1574,3,2025-09-04 00:13:56.615171
U_3038,I_0074,4,2025-09-30 03:16:37.988713
U_0604,I_0040,3,2025-10-19 13:47:34.511202
U_0968,I_0505,3,2025-08-17 15:52:33.427227
U_4260,I_0908,4,2025-11-04 21:47:45.090389
U_0436,I_1486,4,2025-06-11 16:54:59.857666
U_2774,I_0643,4,2025-03-29 10:37:36.492821
